timestep,episode,total,progress,velocity,barrier,heading,smoothness,angular,existence,min_laser,distance_to_goal,cmd_vel_x,cmd_vel_y,cmd_vel_z,pose_x,pose_y,pose_yaw,goal_x,goal_y
82,1,3.391676125430261,0.0,3.3916761254580847,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.522506317394756,-0.9690503215546068,-0.9743110985277589,1.0000000000092746,1.0,-0.0,1.0,0.0
83,1,0.06304944073254358,0.0,0.06304944076036714,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.9715775015924512,-0.018014125922522495,0.052548184912143595,1.0000000000092746,1.0,-0.0,1.0,0.0
84,1,-1.4763989909324275,0.0,-1.476398990904604,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-1.0,0.42182828312487575,0.5364395909246188,1.0000000000092746,1.0,-0.0,1.0,0.0
85,1,0.43744725817021446,0.0,0.43744725819803804,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-1.0,-0.12498493090445056,1.0,1.0000000000092746,1.0,-0.0,1.0,0.0
86,1,-0.4110230130737425,0.0,-0.41102301304591893,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-1.0,0.11743514659382287,-0.6439253607170878,1.0000000000092746,1.0,-0.0,1.0,0.0
87,1,-2.779490732262627,0.0,-2.7794907322348035,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3942832336567095,0.794140209206287,-0.7578802407978291,1.0000000000092746,1.0,-0.0,1.0,0.0
88,1,-2.779490732262627,0.0,-2.7794907322348035,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3942832336567095,0.794140209206287,-0.7578802407978291,1.0000000000092746,1.0,-0.0,1.0,0.0
89,1,-2.779490732262627,0.0,-2.7794907322348035,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3942832336567095,0.794140209206287,-0.7578802407978291,1.0000000000092746,1.0,-0.0,1.0,0.0
90,1,-2.779490732262627,0.0,-2.7794907322348035,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3942832336567095,0.794140209206287,-0.7578802407978291,1.0000000000092746,1.0,-0.0,1.0,0.0
91,1,-2.779490732262627,0.0,-2.7794907322348035,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3942832336567095,0.794140209206287,-0.7578802407978291,1.0000000000092746,1.0,-0.0,1.0,0.0
92,1,-2.779490732262627,0.0,-2.7794907322348035,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3942832336567095,0.794140209206287,-0.7578802407978291,1.0000000000092746,1.0,-0.0,1.0,0.0
93,1,-2.779490732262627,0.0,-2.7794907322348035,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3942832336567095,0.794140209206287,-0.7578802407978291,1.0000000000092746,1.0,-0.0,1.0,0.0
94,1,-2.779490732262627,0.0,-2.7794907322348035,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3942832336567095,0.794140209206287,-0.7578802407978291,1.0000000000092746,1.0,-0.0,1.0,0.0
95,1,-2.779490732262627,0.0,-2.7794907322348035,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3942832336567095,0.794140209206287,-0.7578802407978291,1.0000000000092746,1.0,-0.0,1.0,0.0
96,1,-2.779490732262627,0.0,-2.7794907322348035,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.3942832336567095,0.794140209206287,-0.7578802407978291,1.0000000000092746,1.0,-0.0,1.0,0.0
97,1,0.3499403577324801,0.0,0.3499403577603037,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.6962992530851693,-0.09998295935362889,0.5670590001867433,1.0000000000092746,1.0,-0.0,1.0,0.0
98,1,-1.6806826793417637,0.0,-1.6806826793139402,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.30304802193300584,0.480195051235365,0.36102896228565173,1.0000000000092746,1.0,-0.0,1.0,0.0
99,1,-1.6806826793417637,0.0,-1.6806826793139402,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.30304802193300584,0.480195051235365,0.36102896228565173,1.0000000000092746,1.0,-0.0,1.0,0.0
100,1,-1.6806826793417637,0.0,-1.6806826793139402,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.30304802193300584,0.480195051235365,0.36102896228565173,1.0000000000092746,1.0,-0.0,1.0,0.0
101,1,-1.6806826793417637,0.0,-1.6806826793139402,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.30304802193300584,0.480195051235365,0.36102896228565173,1.0000000000092746,1.0,-0.0,1.0,0.0
102,1,-1.6806826793417637,0.0,-1.6806826793139402,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.30304802193300584,0.480195051235365,0.36102896228565173,1.0000000000092746,1.0,-0.0,1.0,0.0
103,1,-1.6806826793417637,0.0,-1.6806826793139402,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.30304802193300584,0.480195051235365,0.36102896228565173,1.0000000000092746,1.0,-0.0,1.0,0.0
104,1,-1.6806826793417637,0.0,-1.6806826793139402,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.30304802193300584,0.480195051235365,0.36102896228565173,1.0000000000092746,1.0,-0.0,1.0,0.0
105,1,-1.6806826793417637,0.0,-1.6806826793139402,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.30304802193300584,0.480195051235365,0.36102896228565173,1.0000000000092746,1.0,-0.0,1.0,0.0
